scenario_index,task_id,scenario_type,hypothesis,evidence_ptr,evidence_hash,evidence_text,proposed_cmd,risk_est,asset_id,asset_tier,expected_policy_result,roe_clause,decision_card_id
1,task-7700,action_decision,SMB lateral movement,log://clusterA/evid/99182,sha256:adbf0be33653d97a66ac62d01ad94bc71338fd59691c9ba66ac3e562c8f62214,telemetry for task-7700: SMB lateral movement; src=simulated-edr; severity=high,isolate_endpoint,0.841,host-1000,1,acc,ROE-SEC-04,dc-task-7700
2,task-7701,action_decision,Suspicious outbound beacon,log://clusterA/evid/99183,sha256:27a0680cea646a0aa93cfbbb98c1a711d7743c5625794d936569cd9b4ec5b1e7,telemetry for task-7701: Suspicious outbound beacon; src=simulated-edr; severity=high,block_egress,0.826,host-1001,1,acc,ROE-SEC-07,dc-task-7701
3,task-7702,action_decision,Unusual PowerShell execution,log://clusterA/evid/99184,sha256:a06027f54ec135b4d3a9838cbe2ce2b72b583b95edd0955de9cd7e718d17b834,telemetry for task-7702: Unusual PowerShell execution; src=simulated-edr; severity=high,isolate_endpoint,0.787,host-1002,1,acc,ROE-SEC-04,dc-task-7702
4,task-7703,action_decision,Credential spraying pattern,log://clusterA/evid/99185,sha256:23bc96993bf3837df8f95b459b8b4dc6c26a734cc4b184024caaba10c2be22c8,telemetry for task-7703: Credential spraying pattern; src=simulated-edr; severity=high,collect_logs,0.561,host-1003,1,acc,ROE-SEC-01,dc-task-7703
5,task-7704,action_decision,EDR alert enrichment needed,log://clusterA/evid/99186,sha256:719bca31d25526eb8aecf5e54851c522303b5a911327c3e7cd135ccd8038bccc,telemetry for task-7704: EDR alert enrichment needed; src=simulated-edr; severity=high,enrich_alert,0.435,host-1004,1,acc,ROE-SEC-01,dc-task-7704
6,task-7705,action_decision,SMB lateral movement,log://clusterA/evid/99187,sha256:c66fdbb77e25146b6a5948716722e1506057dfc30928bb17a6975e9623a64426,telemetry for task-7705: SMB lateral movement; src=simulated-edr; severity=high,isolate_endpoint,0.871,host-1005,1,acc,ROE-SEC-04,dc-task-7705
7,task-7706,action_decision,Suspicious outbound beacon,log://clusterA/evid/99188,sha256:e4f943bf34457cc3947d277cc6583741fa2ac239af7c816841c4d18421b8e411,telemetry for task-7706: Suspicious outbound beacon; src=simulated-edr; severity=high,block_egress,0.848,host-1006,1,acc,ROE-SEC-07,dc-task-7706
8,task-7707,action_decision,Unusual PowerShell execution,log://clusterA/evid/99189,sha256:1f9da9ae1306f935d93eddc417dfaf742712f5a30a08511a12705494c3bd8412,telemetry for task-7707: Unusual PowerShell execution; src=simulated-edr; severity=high,isolate_endpoint,0.768,host-1007,1,acc,ROE-SEC-04,dc-task-7707
9,task-7708,action_decision,Credential spraying pattern,log://clusterA/evid/99190,sha256:141c119d70df514736f2eab818a56dcee7c270ab7bd80fed269e65174fc6e6e1,telemetry for task-7708: Credential spraying pattern; src=simulated-edr; severity=high,collect_logs,0.548,host-1008,1,acc,ROE-SEC-01,dc-task-7708
10,task-7709,action_decision,EDR alert enrichment needed,log://clusterA/evid/99191,sha256:da3d6d8901e5133d387e6787db48e4aee76532e8b3c5f5a04f2304c0749a1820,telemetry for task-7709: EDR alert enrichment needed; src=simulated-edr; severity=high,enrich_alert,0.4,host-1009,2,acc,ROE-SEC-01,dc-task-7709
11,task-7710,action_decision,SMB lateral movement,log://clusterA/evid/99192,sha256:be1d82dce61592396dec467b594c0e26dc1dd32b48e9b267ab854cc61635d974,telemetry for task-7710: SMB lateral movement; src=simulated-edr; severity=high,isolate_endpoint,0.807,host-1010,1,acc,ROE-SEC-04,dc-task-7710
